accession,species
GCF_000263135.1,Mycobacterium tuberculosis
GCF_001322425.1,Mycobacterium tuberculosis
GCF_014489295.1,Mycobacterium tuberculosis
GCF_001845175.1,Mycobacterium tuberculosis
GCF_000675615.1,Mycobacterium tuberculosis
GCF_002089755.1,Mycobacterium avium
GCF_001609895.1,Mycobacterium avium
GCF_001610065.1,Mycobacterium avium
GCF_001610395.1,Mycobacterium avium
GCF_001610335.1,Mycobacterium avium
GCF_002285695.1,Mycobacterium intracellulare
GCF_016756015.1,Mycobacterium intracellulare
GCF_016756235.1,Mycobacterium intracellulare
GCF_900959515.1,Mycobacterium intracellulare
GCF_016756215.1,Mycobacterium intracellulare
GCF_001440155.1,Mycobacterium chelonae
GCF_001942555.1,Mycobacterium chelonae
GCF_001854015.1,Mycobacterium chelonae
GCF_001440125.1,Mycobacterium chelonae
GCF_001853925.1,Mycobacterium chelonae
GCF_000723425.2,Mycobacterium marinum
GCF_002911575.1,Mycobacterium marinum
GCF_003431645.1,Mycobacterium marinum
GCF_003431805.1,Mycobacterium marinum
GCF_003431575.1,Mycobacterium marinum
GCF_900566155.1,Mycobacterium kansasii
GCF_002705865.1,Mycobacterium kansasii
GCF_015471985.1,Mycobacterium kansasii
GCF_002920755.1,Mycobacterium kansasii
GCF_000715375.1,Mycobacterium kansasii
GCF_004310235.1,Mycobacterium smegmatis
GCF_004310165.1,Mycobacterium smegmatis
GCF_004307055.1,Mycobacterium smegmatis
GCF_004310055.1,Mycobacterium smegmatis
GCF_000767605.1,Mycobacterium smegmatis
GCF_001665415.1,Mycobacterium fortuitum
GCF_001307545.1,Mycobacterium fortuitum
GCF_001673485.1,Mycobacterium fortuitum
GCF_900453945.1,Mycobacterium fortuitum
GCF_006517415.1,Mycobacterium fortuitum
GCF_002013555.1,Mycobacterium immunogenum
GCF_001677135.1,Mycobacterium immunogenum
GCF_001296255.1,Mycobacterium immunogenum
GCF_001296345.1,Mycobacterium immunogenum
GCF_001296335.1,Mycobacterium immunogenum
GCF_900454115.1,Mycobacterium farcinogenes
GCF_001665335.1,Mycobacterium farcinogenes
GCF_001667235.1,Mycobacterium farcinogenes
GCF_001667225.1,Mycobacterium farcinogenes
GCF_001667305.1,Mycobacterium farcinogenes
GCF_004367295.1,Mycobacterium franklinii
GCF_004355025.1,Mycobacterium franklinii
GCF_002013895.1,Mycobacterium franklinii
GCF_004367235.1,Mycobacterium franklinii
GCF_001853795.1,Mycobacterium franklinii
GCF_902825395.1,Mycobacterium persicum
GCA_002086855.1,Mycobacterium persicum
GCF_900566035.1,Mycobacterium persicum
GCF_900566015.1,Mycobacterium persicum
GCF_001632975.1,Mycobacterium persicum
GCF_001673195.1,Mycobacterium colombiense_B
GCF_001673075.1,Mycobacterium colombiense_B
GCF_001673505.1,Mycobacterium colombiense_B
GCF_001673005.1,Mycobacterium colombiense_B
GCF_001953985.1,Mycobacterium colombiense_B
GCF_905219485.1,Mycobacterium riyadhense
GCF_905219515.1,Mycobacterium riyadhense
GCF_905219495.1,Mycobacterium riyadhense
GCF_016864455.1,Mycobacterium riyadhense
GCF_905219555.1,Mycobacterium riyadhense
GCF_009192875.1,Mycobacterium phlei
GCF_900453675.1,Mycobacterium phlei
GCF_001582015.1,Mycobacterium phlei
GCF_015333575.1,Mycobacterium phlei
GCF_001581995.1,Mycobacterium phlei
GCF_007786435.1,Mycobacterium porcinum
GCF_001722425.1,Mycobacterium porcinum
GCF_001686845.1,Mycobacterium porcinum
GCF_001686835.1,Mycobacterium porcinum
GCF_900289185.1,Mycobacterium porcinum
GCF_014194265.1,Mycobacterium monacense
GCF_000015405.1,Mycobacterium monacense
GCF_010731575.1,Mycobacterium monacense
GCF_001665825.1,Mycobacterium monacense
GCF_001667465.1,Mycobacterium monacense
GCF_004359015.1,Mycobacterium paragordonae
GCF_004359035.1,Mycobacterium paragordonae
GCF_003614435.1,Mycobacterium paragordonae
GCF_001673475.1,Mycobacterium paragordonae
GCF_004359025.1,Mycobacterium paragordonae
GCF_001665375.1,Mycobacterium phocaicum
GCF_005670655.1,Mycobacterium phocaicum
GCF_003851485.1,Mycobacterium phocaicum
GCF_004359045.1,Mycobacterium phocaicum
GCF_001557045.1,Mycobacterium phocaicum
GCF_017052695.1,Mycobacterium septicum
GCF_016919325.1,Mycobacterium septicum
GCF_000455325.1,Mycobacterium septicum
GCF_012396425.1,Mycobacterium septicum
GCF_003855255.1,Mycobacterium septicum
GCF_018524285.1,Mycobacterium goodii
GCF_018524325.1,Mycobacterium goodii
GCF_018524265.1,Mycobacterium goodii
GCF_018524375.1,Mycobacterium goodii
GCF_002798385.1,Mycobacterium goodii
GCF_001510785.1,Mycobacterium neoaurum_A
GCF_000317305.3,Mycobacterium neoaurum_A
GCF_000959045.1,Mycobacterium neoaurum_A
GCF_003367335.1,Mycobacterium neoaurum_A
GCF_009192845.1,Mycobacterium mucogenicum_B
GCF_001291445.1,Mycobacterium mucogenicum_B
GCF_001668705.1,Mycobacterium mucogenicum_B
GCF_005670685.2,Mycobacterium mucogenicum_B
GCF_900566075.1,Mycobacterium pseudokansasii
GCF_900566045.1,Mycobacterium pseudokansasii
GCF_900566025.1,Mycobacterium pseudokansasii
GCF_014263315.1,Mycobacterium kubicae
GCF_001673455.1,Mycobacterium kubicae
GCF_015689175.1,Mycobacterium kubicae
GCF_002101745.1,Mycobacterium kubicae
GCF_010723135.1,Mycobacterium kubicae
GCF_010731775.1,Mycobacterium mantenii
GCF_001667865.1,Mycobacterium mantenii
GCF_001667695.1,Mycobacterium mantenii
GCF_002086335.1,Mycobacterium mantenii
GCF_001667995.1,Mycobacterium mantenii
GCF_900101555.1,Mycobacterium neoaurum
GCF_005670605.1,Mycobacterium neoaurum
GCF_018363015.1,Mycobacterium neoaurum
GCF_000691525.1,Mycobacterium neoaurum
GCF_000724065.1,Mycobacterium neoaurum
GCF_001669335.1,Mycobacterium europaeum_A
GCF_003284975.1,Mycobacterium europaeum_A
GCF_001673415.1,Mycobacterium europaeum_A
GCF_001672995.1,Mycobacterium europaeum_A
GCF_001673055.1,Mycobacterium europaeum_A
GCF_001722405.1,Mycobacterium gordonae
GCF_001675225.1,Mycobacterium gordonae
GCF_002101675.1,Mycobacterium gordonae
GCF_002285715.1,Mycobacterium marseillense
GCF_010731675.1,Mycobacterium marseillense
GCF_002086345.1,Mycobacterium marseillense
GCF_001673235.1,Mycobacterium marseillense
GCF_007654935.1,Mycobacterium marseillense
GCF_001653495.1,Mycobacterium leprae
GCF_001648835.1,Mycobacterium leprae
GCF_000195855.1,Mycobacterium leprae
GCF_003253775.1,Mycobacterium leprae
GCF_003584725.1,Mycobacterium leprae
GCF_900089125.1,Mycobacterium lehmannii
GCF_002245535.1,Mycobacterium lehmannii
GCF_001499915.1,Mycobacterium lehmannii
GCF_001500105.1,Mycobacterium lehmannii
GCF_001499925.1,Mycobacterium lehmannii
GCF_000164135.1,Mycobacterium parascrofulaceum
GCF_001686825.1,Mycobacterium parascrofulaceum
GCF_001686735.1,Mycobacterium parascrofulaceum
GCF_001686745.1,Mycobacterium parascrofulaceum
GCF_001686665.1,Mycobacterium parascrofulaceum
GCF_001665755.1,Mycobacterium elephantis
GCF_001005175.1,Mycobacterium elephantis
GCF_004014805.1,Mycobacterium elephantis
GCF_001665365.1,Mycobacterium elephantis
GCF_002086605.1,Mycobacterium elephantis
GCF_010727475.1,Mycobacterium mageritense
GCF_000612825.1,Mycobacterium mageritense
GCF_004359005.1,Mycobacterium obuense
GCF_001044245.1,Mycobacterium obuense
GCF_003254575.1,Mycobacterium obuense
GCF_000974925.2,Mycobacterium obuense
GCF_000184435.1,Mycobacterium gilvum
GCF_900454025.1,Mycobacterium gilvum
GCF_000016365.1,Mycobacterium gilvum
GCF_019148985.1,Mycobacterium gilvum
GCF_001499845.1,Mycobacterium novocastrense
GCF_001570485.1,Mycobacterium novocastrense
GCF_001499825.1,Mycobacterium novocastrense
GCF_001499835.1,Mycobacterium novocastrense
GCF_001021415.1,Mycobacterium haemophilum
GCF_001021485.1,Mycobacterium haemophilum
GCF_001021405.1,Mycobacterium haemophilum
GCF_001021435.1,Mycobacterium haemophilum
GCF_000340435.2,Mycobacterium haemophilum
GCF_000257745.1,Mycobacterium xenopi
GCF_002102015.1,Mycobacterium xenopi
GCF_009936235.1,Mycobacterium xenopi
GCF_900453395.1,Mycobacterium xenopi
GCF_001669345.1,Mycobacterium asiaticum
GCF_002086545.1,Mycobacterium asiaticum
GCF_000613245.1,Mycobacterium asiaticum
GCF_001673165.1,Mycobacterium asiaticum
GCF_001672925.1,Mycobacterium asiaticum
GCF_000972935.1,Mycobacterium heraklionense_A
GCF_001673105.1,Mycobacterium heraklionense_A
GCF_002967035.1,Mycobacterium heraklionense_A
GCF_001666995.1,Mycobacterium heraklionense_A
GCF_001673575.1,Mycobacterium heraklionense_A
GCF_002086515.1,Mycobacterium arupense
GCF_000970885.2,Mycobacterium arupense
GCF_008373105.1,Mycobacterium arupense
GCF_004721035.1,Mycobacterium peregrinum
GCF_002198105.1,Mycobacterium peregrinum
GCF_004721025.1,Mycobacterium peregrinum
GCF_001403655.1,Mycobacterium peregrinum
GCF_002102345.1,Mycobacterium peregrinum
GCF_004366875.1,Mycobacterium salmoniphilum
GCF_004367915.1,Mycobacterium salmoniphilum
GCF_002013645.1,Mycobacterium salmoniphilum
GCF_002013685.1,Mycobacterium salmoniphilum
GCF_004924335.1,Mycobacterium salmoniphilum
GCF_002101825.1,Mycobacterium paraense
GCF_002102305.1,Mycobacterium paraense
GCF_002101815.1,Mycobacterium paraense
GCF_002102295.1,Mycobacterium paraense
GCF_002105755.1,Mycobacterium colombiense
GCF_900161855.1,Mycobacterium colombiense
GCF_000222105.3,Mycobacterium colombiense
GCF_000661085.1,Mycobacterium colombiense
GCF_010725885.1,Mycobacterium tokaiense
GCF_010722995.1,Mycobacterium tokaiense
GCF_900453365.1,Mycobacterium tokaiense
GCF_011758805.1,Mycobacterium fluoranthenivorans
GCF_014295435.1,Mycobacterium fluoranthenivorans
GCF_900100615.1,Mycobacterium fluoranthenivorans
GCF_000613185.1,Mycobacterium cosmeticum
GCF_005670675.1,Mycobacterium cosmeticum
GCF_010723515.1,Mycobacterium algericum
GCF_000214155.1,Mycobacterium algericum
GCF_010726505.1,Mycobacterium algericum
GCF_002086455.1,Mycobacterium algericum
GCF_001865165.1,Mycobacterium llatzerense
GCF_000878195.1,Mycobacterium llatzerense
GCF_000970875.1,Mycobacterium nebraskense
GCF_002102255.1,Mycobacterium nebraskense
GCF_001021495.1,Mycobacterium nebraskense
GCF_001665615.1,Mycobacterium flavescens
GCF_001667105.1,Mycobacterium flavescens
GCF_002245615.1,Mycobacterium flavescens
GCF_001881585.2,Mycobacterium heckeshornense
GCF_016592155.1,Mycobacterium heckeshornense
GCF_001077755.1,Mycobacterium heckeshornense
GCF_016861545.1,Mycobacterium heckeshornense
GCF_001942625.1,Mycobacterium syngnathidarum
GCF_001853525.1,Mycobacterium syngnathidarum
GCF_005924235.1,Mycobacterium syngnathidarum
GCF_001552315.1,Mycobacterium chlorophenolicum
GCF_001044235.1,Mycobacterium chlorophenolicum
GCF_000805385.1,Mycobacterium setense
GCF_001665445.1,Mycobacterium setense
GCF_900236745.1,Mycobacterium setense
GCF_000805375.1,Mycobacterium setense
GCF_001853625.1,Mycobacterium saopaulense
GCF_001853765.1,Mycobacterium saopaulense
GCF_001456355.1,Mycobacterium saopaulense
GCF_002086715.1,Mycobacterium saopaulense
GCF_001679965.1,Mycobacterium kumamotonense
GCF_010093495.1,Mycobacterium kumamotonense
GCF_002086285.1,Mycobacterium kumamotonense
GCF_900566085.1,Mycobacterium attenuatum
GCF_900566065.1,Mycobacterium attenuatum
GCF_900566105.1,Mycobacterium attenuatum
GCF_000455305.1,Mycobacterium simiae
GCF_002093075.1,Mycobacterium simiae
GCF_010727605.1,Mycobacterium simiae
GCF_002553535.1,Mycobacterium boenickei
GCF_900166915.1,Mycobacterium boenickei
GCF_010731295.1,Mycobacterium boenickei
GCF_900566055.1,Mycobacterium innocens
GCF_001552715.1,Mycobacterium vaccae
GCF_001655245.1,Mycobacterium vaccae
GCF_000295825.1,Mycobacterium vaccae
GCF_000379865.1,Mycobacterium hassiacum
GCF_900603025.1,Mycobacterium hassiacum
GCF_000300375.1,Mycobacterium hassiacum
GCF_001666815.1,Mycobacterium alsense
GCF_002086635.1,Mycobacterium alsense
GCF_001672935.1,Mycobacterium alsense
GCF_001722445.1,Mycobacterium shimoidei
GCF_900417275.1,Mycobacterium shimoidei
GCF_001953995.1,Mycobacterium nonchromogenicum
GCF_002101775.1,Mycobacterium nonchromogenicum
GCF_001672655.1,Mycobacterium nonchromogenicum
GCF_000759695.1,Mycobacterium kyorinense
GCF_002101735.1,Mycobacterium kyorinense
GCF_001439515.1,Mycobacterium kyorinense
GCF_001722345.1,Mycobacterium intermedium
GCF_002086275.1,Mycobacterium intermedium
GCF_900187065.1,Mycobacterium thermoresistibile
GCF_000234585.1,Mycobacterium thermoresistibile
GCF_001570505.1,Mycobacterium thermoresistibile
GCF_002101955.1,Mycobacterium terrae
